SLR(1) SUCCESSFUL PARSE TRACE
==================================================
Step 1 | Stack: [0] | Lookahead: INT | Action: s10
Step 187 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 64, 56, 35, 59] | Lookahead: RPAREN | Action: r26
Step 188 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 64, 56, 31] | Lookahead: RPAREN | Action: r25
Step 189 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 64, 56, 31, 47] | Lookahead: RPAREN | Action: r22
Step 190 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 64, 56, 77] | Lookahead: RPAREN | Action: r44
Step 191 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 30] | Lookahead: RPAREN | Action: r42
Step 192 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 39] | Lookahead: RPAREN | Action: r40
Step 193 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 39, 65] | Lookahead: RPAREN | Action: r38
Step 194 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 32] | Lookahead: RPAREN | Action: r37
Step 195 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 32, 51] | Lookahead: RPAREN | Action: r35
Step 196 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 63] | Lookahead: RPAREN | Action: s81
Step 197 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 63, 81] | Lookahead: RPAREN | Action: r43
Step 198 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 39] | Lookahead: RPAREN | Action: r40
Step 199 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 39, 65] | Lookahead: RPAREN | Action: r38
Step 200 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 76] | Lookahead: RPAREN | Action: r37
Step 201 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 76, 88] | Lookahead: RPAREN | Action: r36
Step 202 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 51] | Lookahead: RPAREN | Action: r35
